02/07-21:14:27.998486 ,2,192.168.0.2,192.168.0.1,TCP,"TCP SYN packet flooding (simple or distributed) attempt"
02/07-21:16:32.541667 ,10,::,ff02::16,,"ICMP test detected"
02/07-21:16:32.701804 ,10,::,ff02::1:fffc:462b,,"ICMP test detected"
02/07-21:16:33.497714 ,10,::,ff02::16,,"ICMP test detected"
02/07-21:16:33.701848 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:16:33.701896 ,10,fe80::888d:e1ff:fefc:462b,ff02::2,,"ICMP test detected"
02/07-21:16:33.709707 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:16:34.161670 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:16:34.189665 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:16:37.709665 ,10,fe80::888d:e1ff:fefc:462b,ff02::2,,"ICMP test detected"
02/07-21:16:41.717675 ,10,fe80::888d:e1ff:fefc:462b,ff02::2,,"ICMP test detected"
02/07-21:17:21.573676 ,10,::,ff02::16,,"ICMP test detected"
02/07-21:17:21.585654 ,10,::,ff02::16,,"ICMP test detected"
02/07-21:17:22.185761 ,10,::,ff02::1:fffc:462b,,"ICMP test detected"
02/07-21:17:23.185914 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:17:23.185957 ,10,fe80::888d:e1ff:fefc:462b,ff02::2,,"ICMP test detected"
02/07-21:17:23.193704 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:17:23.313672 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:17:24.121667 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:17:27.189664 ,10,fe80::888d:e1ff:fefc:462b,ff02::2,,"ICMP test detected"
02/07-21:17:31.197687 ,10,fe80::888d:e1ff:fefc:462b,ff02::2,,"ICMP test detected"
02/07-21:18:10.541684 ,10,::,ff02::16,,"ICMP test detected"
02/07-21:18:10.553651 ,10,::,ff02::16,,"ICMP test detected"
02/07-21:18:10.665786 ,10,::,ff02::1:fffc:462b,,"ICMP test detected"
02/07-21:18:11.665797 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:18:11.665833 ,10,fe80::888d:e1ff:fefc:462b,ff02::2,,"ICMP test detected"
02/07-21:18:11.673683 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:18:12.361700 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:18:12.381710 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:18:15.669669 ,10,fe80::888d:e1ff:fefc:462b,ff02::2,,"ICMP test detected"
02/07-21:18:19.677701 ,10,fe80::888d:e1ff:fefc:462b,ff02::2,,"ICMP test detected"
02/07-21:18:59.537687 ,10,::,ff02::16,,"ICMP test detected"
02/07-21:18:59.885713 ,10,::,ff02::16,,"ICMP test detected"
02/07-21:19:00.365754 ,10,::,ff02::1:fffc:462b,,"ICMP test detected"
02/07-21:19:01.365814 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:19:01.365857 ,10,fe80::888d:e1ff:fefc:462b,ff02::2,,"ICMP test detected"
02/07-21:19:01.373701 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:19:01.429708 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:19:01.501705 ,10,fe80::888d:e1ff:fefc:462b,ff02::16,,"ICMP test detected"
02/07-21:19:05.373663 ,10,fe80::888d:e1ff:fefc:462b,ff02::2,,"ICMP test detected"
02/07-21:19:09.381696 ,10,fe80::888d:e1ff:fefc:462b,ff02::2,,"ICMP test detected"
02/07-21:19:32.272810 ,10,192.168.0.2,192.168.0.4,ICMP,"ICMP test detected"
